id,first,follow_1,follow_2,follow_3,follow_4,follow_5,follow_6,follow_7
sub115,"(0.16666666666666666, 242.502, 0.0, 0.0)",,,,,,,
sub116,"(0.08333333333333333, 16.328, 0.0, 0.0)",,,,,,,
sub117,"(0.16666666666666666, 28.366, 0.0, 0.0)",,,,,,,
sub118,"(0.041666666666666664, 103.363, 0.0, 0.0)",,,,,,,
sub119,"(0.125, 8.202, 0.0, 0.0)",,,,,,,
sub120,"(0.08333333333333333, 31.546, 0.0, 0.0)",,,,,,,
sub121,"(0.03333333333333333, 4.022, 0.0, 0.0)",,,,,,,
sub122,"(0.08333333333333333, 15.962, 0.0, 0.0)",,,,,,,
sub123,"(1.0, 24.512, 0.0, 0.0)",,,,,,,
sub124,"(0.0625, 4.787, 0.0, 0.0)",,,,,,,
sub125,"(0.0625, 28.94, 0.0, 0.0)",,,,,,,
sub126,"(0.041666666666666664, 12.924, 0.0, 0.0)",,,,,,,
sub127,"(0.041666666666666664, 29.251, 0.0, 0.0)",,,,,,,
sub128,"(0.041666666666666664, 18.523, 0.0, 0.0)",,,,,,,
sub129,"(0.08333333333333333, 86.613, 0.0, 0.0)",,,,,,,
sub130,"(0.0625, 90.29, 0.0, 0.0)",,,,,,,
sub131,"(0.08333333333333333, 78.835, 0.0, 0.0)","(0.6416666666666667, 78.835, 36.919, 46.83072239487537)",,,,,,
sub132,"(0.041666666666666664, 174.411, 0.0, 0.0)","(0.18819444444444444, 174.411, -64.155, -36.78380377384454)",,,,,,
sub133,"(0.125, 22.415, 0.0, 0.0)","(1.1208333333333333, 22.415, -0.111, -0.4952041043943788)","(5.1305555555555555, 22.415, -2.589, -11.55030113763105)","(9.058333333333334, 22.415, -4.426, -19.74570600044613)","(52.111111111111114, 22.415, -22.415, -100.0)",,,
sub134,"(0.20833333333333334, 33.707, 0.0, 0.0)","(0.8479166666666668, 33.707, -0.103, -0.3055745097457502)","(8.844444444444445, 33.707, -14.003, -41.543299611356694)",,,,,
sub135,"(0.08333333333333333, 34.495, 0.0, 0.0)","(0.20625000000000002, 34.495, -8.614, -24.97173503406291)","(2.9090277777777778, 34.495, -7.755, -22.48151906073344)","(4.652777777777778, 34.495, -2.461, -7.134367299608639)","(8.672222222222222, 34.495, -7.715, -22.365560226119726)",,,
sub136,"(0.08333333333333333, 10.723, 0.0, 0.0)","(0.8069444444444445, 10.723, 25.888, 241.42497435419193)","(4.584027777777778, 10.723, 24.685, 230.20609903944793)","(19.804861111111112, 10.723, -6.672, -62.22139326680966)",,,,
sub137,"(1.0, 10.541, 0.0, 0.0)","(1.7486111111111111, 10.541, -0.456, -4.325965278436581)","(8.655555555555555, 10.541, -2.543, -24.124845840053126)",,,,,
sub138,"(0.125, 5.353, 0.0, 0.0)","(0.4909722222222222, 5.353, 0.074, 1.3824023911825145)","(1.2013888888888888, 5.353, -0.083, -1.5505324117317394)","(4.2124999999999995, 5.353, 0.108, 2.0175602465906968)",,,,
sub139,"(0.1875, 31.112, 0.0, 0.0)","(0.576388888888889, 31.112, 52.957, 170.21406531241965)","(1.4909722222222221, 31.112, 56.545, 181.746592954487)","(5.683333333333334, 31.112, 53.611, 172.316148110054)","(11.711805555555555, 31.112, 45.129, 145.0533556184109)",,,
sub140,"(0.01375, 5.35, 0.0, 0.0)","(0.7130555555555556, 5.35, -1.108, -20.710280373831775)","(4.891527777777777, 5.35, -1.915, -35.794392523364486)","(8.934583333333334, 5.35, -1.877, -35.08411214953271)",,,,
sub141,"(0.5833333333333334, 44.147, 0.0, 0.0)","(2.0722222222222224, 44.147, 0.518, 1.173352662695087)","(5.0375000000000005, 44.147, -3.18, -7.203207465965978)",,,,,
sub142,"(0.0625, 47.24, 0.0, 0.0)","(0.4291666666666667, 47.24, 25.149, 53.236663844199825)","(1.517361111111111, 47.24, 34.344, 72.70110076206605)","(7.384027777777778, 47.24, 18.547, 39.26121930567316)","(12.131944444444445, 47.24, -14.543, -30.785351397121087)",,,
sub143,"(0.125, 28.4, 0.0, 0.0)","(0.9583333333333334, 28.4, 0.975, 3.433098591549296)","(2.7624999999999997, 28.4, -5.023, -17.68661971830986)","(4.952083333333333, 28.4, -5.25, -18.485915492957748)","(16.968055555555555, 28.4, -26.021, -91.62323943661971)",,,
sub144,"(0.0625, 33.686, 0.0, 0.0)","(1.14375, 33.686, 0.487, 1.4457044469512559)","(4.103472222222222, 33.686, 4.263, 12.655108947337174)","(13.330555555555556, 33.686, 4.385, 13.01727720714837)","(26.14236111111111, 33.686, -32.767, -97.27186368224187)","(336.1430555555556, 33.686, -33.686, -100.0)",,
sub145,"(0.5, 13.431, 0.0, 0.0)","(2.125, 13.431, -1.451, -10.803365348819895)","(8.052083333333334, 13.431, -6.537, -48.6709850346214)",,,,,
sub146,"(0.0625, 1.314, 0.0, 0.0)","(0.3236111111111111, 1.314, 0.043, 3.272450532724505)","(0.9020833333333332, 1.314, -0.057, -4.337899543378995)","(7.861111111111111, 1.314, -0.978, -74.42922374429224)","(18.870833333333334, 1.314, -1.314, -100.0)","(60.91458333333333, 1.314, -1.314, -100.0)",,
sub147,"(0.012499999999999999, 28.457, 0.0, 0.0)","(0.3687500000000001, 28.457, 21.686, 76.20620585444706)","(0.9645833333333335, 28.457, 21.734, 76.37488140000703)","(2.9548611111111107, 28.457, 18.208, 63.984256949081065)",,,,
sub148,"(0.08333333333333333, 23.003, 0.0, 0.0)","(2.163194444444444, 23.003, -2.378, -10.337782028431073)","(9.116666666666667, 23.003, -9.54, -41.47285136721297)","(27.08125, 23.003, -23.003, -100.0)",,,,
sub149,"(0.125, 53.622, 0.0, 0.0)","(0.3680555555555555, 53.622, -11.826, -22.054380664652566)",,,,,,
sub150,"(1.0, 8.248, 0.0, 0.0)","(1.9715277777777775, 8.248, -0.63, -7.6382153249272555)",,,,,,
sub151,"(0.08333333333333333, 57.608, 0.0, 0.0)","(0.3430555555555556, 57.608, 48.049, 83.40681849743092)","(1.2979166666666666, 57.608, 33.311, 57.823566171365094)",,,,,
sub152,"(0.16666666666666666, 121.434, 0.0, 0.0)","(0.7923611111111111, 121.434, -110.852, -91.28580134064595)","(7.8500000000000005, 121.434, -113.297, -93.29924073982575)",,,,,
sub153,"(0.2916666666666667, 81.478, 0.0, 0.0)","(1.7881944444444444, 81.478, 1.028, 1.2616902722207222)","(2.6840277777777772, 81.478, -4.621, -5.6714695991556)",,,,,
sub154,"(0.875, 22.194, 0.0, 0.0)","(2.7006944444444443, 22.194, -1.597, -7.195638460845273)","(5.909027777777777, 22.194, -1.341, -6.042173560421736)","(7.797222222222222, 22.194, -6.665, -30.0306389114175)","(14.951388888888888, 22.194, -20.593, -92.78633865008561)",,,
sub155,"(0.13749999999999998, 39.872, 0.0, 0.0)","(1.4361111111111111, 39.872, 3.248, 8.146067415730338)","(8.506944444444445, 39.872, -15.454, -38.75902889245586)","(15.452083333333334, 39.872, -27.657, -69.36446629213484)","(19.424305555555556, 39.872, -31.155, -78.1375401284109)","(107.47083333333335, 39.872, -39.872, -100.0)",,
sub156,"(0.22916666666666666, 32.559, 0.0, 0.0)","(1.0368055555555555, 32.559, 2.579, 7.921004944869314)","(5.2340277777777775, 32.559, 1.682, 5.166006326975644)","(12.221527777777778, 32.559, -18.182, -55.84323842869867)",,,,
sub157,"(0.020833333333333332, 18.15, 0.0, 0.0)","(0.05694444444444444, 18.15, 19.5, 107.43801652892562)","(0.2965277777777778, 18.15, 122.538, 675.1404958677685)","(0.8361111111111111, 18.15, 105.776, 582.7878787878788)",,,,
sub158,"(0.11666666666666665, 27.969, 0.0, 0.0)","(0.7659722222222222, 27.969, -0.898, -3.2106975580106547)","(2.970833333333333, 27.969, -3.85, -13.765240087239444)","(12.860416666666667, 27.969, -24.322, -86.96056348099683)",,,,
sub159,"(0.125, 53.154, 0.0, 0.0)","(1.1055555555555556, 53.154, 73.488, 138.2548820408624)",,,,,,
sub160,"(0.16666666666666666, 49.019, 0.0, 0.0)","(0.7284722222222223, 49.019, 51.451, 104.96134152063486)",,,,,,
