id,first,follow_1,follow_2,follow_3,follow_4,follow_5,follow_6,follow_7
sub113,"(0.4583333333333333, 21.395, 0.0, 0.0)",,,,,,,
sub114,"(0.3333333333333333, 31.85, 0.0, 0.0)",,,,,,,
sub115,"(0.16666666666666666, 58.419, 0.0, 0.0)",,,,,,,
sub116,"(0.08333333333333333, 10.367, 0.0, 0.0)",,,,,,,
sub117,"(0.16666666666666666, 11.109, 0.0, 0.0)",,,,,,,
sub118,"(0.041666666666666664, 40.184, 0.0, 0.0)",,,,,,,
sub119,"(0.125, 8.737, 0.0, 0.0)",,,,,,,
sub120,"(0.08333333333333333, 19.079, 0.0, 0.0)",,,,,,,
sub121,"(0.03333333333333333, 2.949, 0.0, 0.0)",,,,,,,
sub122,"(0.08333333333333333, 11.897, 0.0, 0.0)",,,,,,,
sub123,"(1.0, 24.3, 0.0, 0.0)",,,,,,,
sub124,"(0.0625, 1.239, 0.0, 0.0)",,,,,,,
sub125,"(0.0625, 14.082, 0.0, 0.0)",,,,,,,
sub126,"(0.041666666666666664, 7.036, 0.0, 0.0)",,,,,,,
sub127,"(0.041666666666666664, 12.787, 0.0, 0.0)",,,,,,,
sub128,"(0.041666666666666664, 13.018, 0.0, 0.0)",,,,,,,
sub129,"(0.08333333333333333, 51.879, 0.0, 0.0)",,,,,,,
sub130,"(0.0625, 33.007, 0.0, 0.0)",,,,,,,
sub131,"(0.08333333333333333, 21.562, 0.0, 0.0)","(0.6416666666666667, 21.562, 15.02, 69.65958630924774)",,,,,,
sub132,"(0.041666666666666664, 7.3, 0.0, 0.0)","(0.18819444444444444, 7.3, 10.129, 138.75342465753425)",,,,,,
sub133,"(0.125, 18.639, 0.0, 0.0)","(1.1208333333333333, 18.639, -1.056, -5.665539996780943)","(5.1305555555555555, 18.639, 3.761, 20.178121143838187)","(9.058333333333334, 18.639, 3.798, 20.376629647513276)","(52.111111111111114, 18.639, -18.639, -100.0)",,,
sub134,"(0.20833333333333334, 11.179, 0.0, 0.0)","(0.8479166666666668, 11.179, 0.274, 2.4510242418821004)","(8.844444444444445, 11.179, -7.837, -70.10466052419716)",,,,,
sub135,"(0.08333333333333333, 3.661, 0.0, 0.0)","(0.20625000000000002, 3.661, 3.342, 91.28653373395247)","(2.9090277777777778, 3.661, 8.552, 233.59737776563782)","(4.652777777777778, 3.661, 8.824, 241.02704179186017)","(8.672222222222222, 3.661, 2.704, 73.85960120185742)",,,
sub136,"(0.08333333333333333, 10.084, 0.0, 0.0)","(0.8069444444444445, 10.084, 22.238, 220.52756842522808)","(4.584027777777778, 10.084, 32.079, 318.1178103927013)","(19.804861111111112, 10.084, 78.222, 775.7040856802856)",,,,
sub137,"(1.0, 4.101, 0.0, 0.0)","(1.7486111111111111, 4.101, 1.956, 47.69568397951719)","(8.655555555555555, 4.101, -0.899, -21.921482565227993)",,,,,
sub138,"(0.125, 0.762, 0.0, 0.0)","(0.4909722222222222, 0.762, 0.882, 115.74803149606299)","(1.2013888888888888, 0.762, 1.001, 131.36482939632546)","(4.2124999999999995, 0.762, 3.843, 504.3307086614173)",,,,
sub139,"(0.1875, 13.402, 0.0, 0.0)","(0.576388888888889, 13.402, 40.952, 305.56633338307716)","(1.4909722222222221, 13.402, 57.863, 431.74899268765853)","(5.683333333333334, 13.402, 43.67, 325.84688852410085)","(11.711805555555555, 13.402, 37.837, 282.32353380092525)",,,
sub140,"(0.01375, 3.497, 0.0, 0.0)","(0.7130555555555556, 3.497, 3.121, 89.2479267943952)","(4.891527777777777, 3.497, 8.167, 233.54303688876178)","(8.934583333333334, 3.497, 6.704, 191.70717758078354)",,,,
sub141,"(0.5833333333333334, 33.501, 0.0, 0.0)","(2.0722222222222224, 33.501, 1.095, 3.268559147488135)","(5.0375000000000005, 33.501, 26.981, 80.5378943912122)",,,,,
sub142,"(0.0625, 38.12, 0.0, 0.0)","(0.4291666666666667, 38.12, 25.375, 66.56610703043022)","(1.517361111111111, 38.12, 19.054, 49.98426023084995)","(7.384027777777778, 38.12, 78.294, 205.38824763903466)","(12.131944444444445, 38.12, -23.456, -61.532004197271775)",,,
sub143,"(0.125, 25.806, 0.0, 0.0)","(0.9583333333333334, 25.806, 1.319, 5.111214446252809)","(2.7624999999999997, 25.806, 6.866, 26.606215608773155)","(4.952083333333333, 25.806, 0.423, 1.6391536851894908)","(16.968055555555555, 25.806, -21.772, -84.3679764395877)",,,
sub144,"(0.0625, 28.944, 0.0, 0.0)","(1.14375, 28.944, 5.302, 18.318131564400222)","(4.103472222222222, 28.944, -12.73, -43.98148148148148)","(13.330555555555556, 28.944, -21.976, -75.92592592592592)","(26.14236111111111, 28.944, -23.821, -82.30030403537866)","(336.1430555555556, 28.944, -28.944, -100.0)",,
sub145,"(0.5, 1.097, 0.0, 0.0)","(2.125, 1.097, 4.191, 382.0419325432999)","(8.052083333333334, 1.097, -0.693, -63.17228805834093)",,,,,
sub146,"(0.0625, 0.118, 0.0, 0.0)","(0.3236111111111111, 0.118, -0.08, -67.79661016949152)","(0.9020833333333332, 0.118, -0.037, -31.35593220338983)","(7.861111111111111, 0.118, -0.02, -16.94915254237288)","(18.870833333333334, 0.118, -0.118, -100.0)","(60.91458333333333, 0.118, -0.118, -100.0)",,
sub147,"(0.012499999999999999, 9.837, 0.0, 0.0)","(0.3687500000000001, 9.837, 22.831, 232.0931178204737)","(0.9645833333333335, 9.837, 29.871, 303.65965233302836)","(2.9548611111111107, 9.837, 36.594, 372.003659652333)",,,,
sub148,"(0.08333333333333333, 4.137, 0.0, 0.0)","(2.163194444444444, 4.137, 4.47, 108.04931109499638)","(9.116666666666667, 4.137, 0.584, 14.116509547981629)","(27.08125, 4.137, 10.765, 260.2127145274353)",,,,
sub149,"(0.125, 12.928, 0.0, 0.0)","(0.3680555555555555, 12.928, -4.148, -32.08539603960396)",,,,,,
sub150,"(1.0, 7.909, 0.0, 0.0)","(1.9715277777777775, 7.909, 0.298, 3.7678594006827666)",,,,,,
sub151,"(0.08333333333333333, 25.187, 0.0, 0.0)","(0.3430555555555556, 25.187, 7.851, 31.17084210108389)","(1.2979166666666666, 25.187, 7.013, 27.843728907769883)",,,,,
sub152,"(0.16666666666666666, 21.341, 0.0, 0.0)","(0.7923611111111111, 21.341, -12.268, -57.4855911156928)","(7.8500000000000005, 21.341, 0.85, 3.9829436296331004)",,,,,
sub153,"(0.2916666666666667, 56.109, 0.0, 0.0)","(1.7881944444444444, 56.109, -18.998, -33.85909568874869)","(2.6840277777777772, 56.109, 2.973, 5.298615195423194)",,,,,
sub154,"(0.875, 11.576, 0.0, 0.0)","(2.7006944444444443, 11.576, 8.065, 69.67000691085003)","(5.909027777777777, 11.576, 9.537, 82.38597097442985)","(7.797222222222222, 11.576, 2.319, 20.032826537664132)","(14.951388888888888, 11.576, 50.157, 433.2843814789219)",,,
sub155,"(0.13749999999999998, 25.699, 0.0, 0.0)","(1.4361111111111111, 25.699, 26.308, 102.36974201330791)","(8.506944444444445, 25.699, 71.459, 278.0614031674384)","(15.452083333333334, 25.699, 88.653, 344.9667302229659)","(19.424305555555556, 25.699, 83.32, 324.2149499980544)","(107.47083333333335, 25.699, -25.699, -100.0)",,
sub156,"(0.22916666666666666, 8.968, 0.0, 0.0)","(1.0368055555555555, 8.968, 3.892, 43.398751115075825)","(5.2340277777777775, 8.968, 4.748, 52.94380017841214)","(12.221527777777778, 8.968, 3.741, 41.7149866190901)",,,,
sub157,"(0.020833333333333332, 0.409, 0.0, 0.0)","(0.05694444444444444, 0.409, 3.333, 814.914425427873)","(0.2965277777777778, 0.409, 52.902, 12934.474327628363)","(0.8361111111111111, 0.409, 29.136, 7123.716381418093)",,,,
sub158,"(0.11666666666666665, 17.948, 0.0, 0.0)","(0.7659722222222222, 17.948, 3.151, 17.556273679518608)","(2.970833333333333, 17.948, 26.121, 145.53710719857366)","(12.860416666666667, 17.948, 46.295, 257.93960329841764)",,,,
sub159,"(0.125, 14.43, 0.0, 0.0)","(1.1055555555555556, 14.43, 4.589, 31.801801801801805)",,,,,,
sub160,"(0.16666666666666666, 18.622, 0.0, 0.0)","(0.7284722222222223, 18.622, 10.061, 54.02749436150789)",,,,,,
